descending order,
DATA date is  22-05-29,
ライバー,VideoCount
白神フブキ 1510,
ロボ子さん 1010,
兎田ぺこら 956,
角巻わため 918,
天音かなた 861,
不知火フレア 860,
赤井はあと 779,
さくらみこ 763,
夏色まつり 758,
宝鐘マリン 743,
常闇トワ 708,
尾丸ポルカ 672,
雪花ラミィ 659,
白銀ノエル 652,
大空スバル 638,
ときのそら 619,
獅白ぼたん 592,
猫又おかゆ 582,
アキ・ローゼンタール 576,
WatsonAmelia 559,
戌神ころね 554,
TakabashiKiara 539,
PavoliaReine 535,
AyundaRisu 534,
大神ミオ 516,
星街すいせい 515,
桃鈴ねね 495,
KureijiOllie 477,
MoriCalliope 476,
姫森ルーナ 465,
癒月ちょこ 461,
湊あくあ 440,
紫咲シオン 429,
MoonaHoshinova 417,
AiraniIofifteen 406,
NinomaeIna'nis 404,
GawrGura 343,
AnyaMelfissa 335,
博衣こより 326,
鷹嶺ルイ 314,
夜空メル 311,
AZKi 236,
百鬼あやめ 207,
HakosBaelz 205,
IRyS 187,
風真いろは 173,
CeresFauna 161,
ラプラス・ダークネス 158,
NanashiMumei 155,
沙花叉クロヱ 140,
OuroKronii 128,
TsukumoSana 91,
KaelaKovalskia 79,
VestiaZeta 66,
KoboKanaeru 52,
